nazwa_pliku_wejsciowego;glass.csv
liczba_wym_punktow;9
l_punktow;214
k;3
czas_wczytania_pliku_wej [us];3764
czas_normalizacji [us];3.1
calkowity_czas_sortowania [us];4907
czas_obliczania_kNN [us];129788
czas_obliczania_RkNN [us];129788
czas_grupowania [us];120
czas_zapisywania_plikow_out_kNN [us];11115
calkowity_czas_dzialania [us];15421
calkowity_czas_dzialania-czas_zapisywania_plikow [us];4306
l_odkrytych_grup;21
l_odkrytych_p_szumu;50
l_odkrytych_p_rdzeniowych;121
l_odkrytych_p_brzegowych;43
srednia_l_obl_odl;426
|TP|;965
|TN|;15239
l_par_punktow;22791
RAND;0.710982
